SYMBOL	X.1	day2_log2FoldChange	day2_lfcSE	day2_stat	day2_pvalue	day2_padj	day6_log2FoldChange	day6_lfcSE.	day6_stat	day6_pvalue	day6_padj
CNTN2	ENSG00000184144	4.351789066	0.612593309	7.103879532	1.21E-12	3.20E-10	2.926096698	0.633157507	4.621435686	3.81E-06	0.000101051
CLDN6	ENSG00000184697	4.326978482	0.385512906	11.22395234	3.11E-29	4.97E-26	3.066349569	0.343295857	8.93209023	4.18E-19	1.73E-16
MX1	ENSG00000157601	4.270072183	0.330204008	12.93161828	2.98E-38	1.16E-34	3.657625042	0.246638802	14.82988489	9.39E-50	7.12E-46
IL27	ENSG00000197272	4.264126194	0.801685578	5.318950857	1.04E-07	7.00E-06	4.071527326	0.543993627	7.484512915	7.18E-14	1.39E-11
LGALS17A	ENSG00000226025	4.242727355	0.589178447	7.201090569	5.97E-13	1.66E-10	2.813225821	0.540828166	5.201699909	1.97E-07	8.25E-06
HESX1	ENSG00000163666	4.175411236	0.468267906	8.916714527	4.80E-19	2.84E-16	3.232973415	0.362130712	8.927642174	4.35E-19	1.77E-16
OAS1	ENSG00000089127	4.156675529	0.311359168	13.3500984	1.18E-40	8.03E-37	3.672837458	0.319851335	11.48295178	1.61E-30	1.83E-27
CMPK2	ENSG00000134326	4.070360042	0.326896173	12.45153775	1.37E-35	4.14E-32	3.495774344	0.253618716	13.78358191	3.20E-43	1.21E-39
ACOD1	ENSG00000102794	3.994878989	0.830117581	4.812425469	1.49E-06	6.56E-05	2.496258787	0.921621622	2.708550589	0.006757781	0.033303276
IFI44L	ENSG00000137959	3.978899023	0.330200743	12.04993963	1.94E-33	4.39E-30	3.109727473	0.234348371	13.26967819	3.47E-40	7.90E-37
NT5C3A	ENSG00000122643	3.948395597	0.408332845	9.669551791	4.06E-22	3.06E-19	3.155324197	0.366765826	8.603103053	7.76E-18	2.72E-15
PHYHIPL	ENSG00000165443	3.91222563	0.557230499	7.020839015	2.21E-12	5.50E-10	2.900340691	0.446026304	6.502622527	7.89E-11	8.40E-09
DEFB1	ENSG00000164825	3.89879427	0.747032435	5.219042827	1.80E-07	1.13E-05	3.992605502	0.642482535	6.214340912	5.15E-10	4.53E-08
RSAD2	ENSG00000134321	3.874336767	0.379119683	10.21929734	1.63E-24	1.77E-21	3.467281126	0.283221474	12.24229602	1.85E-34	2.63E-31
CCL19	ENSG00000172724	3.792101512	1.047557577	3.619945665	0.000294665	0.004143153	4.467576932	1.062248921	4.205772155	2.60E-05	0.000463057
ISG20	ENSG00000172183	3.786962953	0.485857553	7.794389386	6.47E-15	2.51E-12	2.903709565	0.363608386	7.985815729	1.40E-15	3.57E-13
IFITM1	ENSG00000185885	3.737431636	0.335679108	11.13394176	8.58E-29	1.29E-25	3.175728227	0.34901683	9.099069017	9.11E-20	4.23E-17
HERC5	ENSG00000138646	3.626708475	0.317502984	11.42259649	3.22E-30	5.47E-27	3.022043038	0.299725537	10.0827012	6.59E-24	5.17E-21
IFIT3	ENSG00000119917	3.621779397	0.313523155	11.55187214	7.22E-31	1.31E-27	2.843145257	0.270733738	10.50162893	8.49E-26	7.43E-23
FDCSP	ENSG00000181617	3.620068221	0.601080607	6.022600257	1.72E-09	2.04E-07	5.916546722	1.182646988	5.002800312	5.65E-07	2.01E-05
CFB	ENSG00000243649	3.594003811	0.540767604	6.646115235	3.01E-11	5.92E-09	3.238524556	0.374210932	8.654275658	4.96E-18	1.79E-15
LINC02574	ENSG00000233975	3.545303434	0.636025298	5.574154747	2.49E-08	2.12E-06	3.131551801	0.802443091	3.90252198	9.52E-05	0.001299845
CXCL3	ENSG00000163734	3.544175845	0.648507327	5.465128455	4.63E-08	3.56E-06	1.738765453	0.530336245	3.278609506	0.001043199	0.008240388
IFIH1	ENSG00000115267	3.523973592	0.336530736	10.47147619	1.17E-25	1.51E-22	2.988001946	0.29864425	10.00522176	1.45E-23	1.06E-20
GMPR	ENSG00000137198	3.494766928	0.382464449	9.137494832	6.39E-20	4.15E-17	2.29757812	0.244082093	9.413136755	4.82E-21	2.55E-18
HERC6	ENSG00000138642	3.465430326	0.257269246	13.47005277	2.35E-41	2.13E-37	2.928807323	0.249060724	11.75941064	6.32E-32	8.46E-29
IFI35	ENSG00000068079	3.459793476	0.324985784	10.64598406	1.82E-26	2.60E-23	2.711560174	0.307851125	8.808024247	1.27E-18	4.75E-16
IFI6	ENSG00000126709	3.449943071	0.422616294	8.163298773	3.26E-16	1.45E-13	2.782856498	0.448665303	6.202522195	5.56E-10	4.81E-08
SAMD9	ENSG00000205413	3.405521883	0.345656833	9.85232044	6.70E-23	5.51E-20	2.684276602	0.358892891	7.479325073	7.47E-14	1.43E-11
KIF5C	ENSG00000168280	3.404935353	0.386394444	8.812071202	1.23E-18	6.81E-16	1.754755059	0.411070204	4.26874787	1.97E-05	0.00036948
BOLL	ENSG00000152430	3.37782353	0.656674627	5.143831346	2.69E-07	1.60E-05	2.388879879	0.744935078	3.206829628	0.001342065	0.010045404
USP18	ENSG00000184979	3.36539939	0.321131098	10.47983024	1.07E-25	1.45E-22	3.040433413	0.280200437	10.85092316	1.97E-27	1.87E-24
DDX60L	ENSG00000181381	3.324054009	0.279944329	11.87398229	1.62E-32	3.38E-29	2.401531634	0.280731716	8.554543336	1.18E-17	4.08E-15
DDX58	ENSG00000107201	3.322352736	0.275357287	12.06560672	1.60E-33	3.96E-30	2.675497968	0.275626343	9.706974796	2.82E-22	1.89E-19
RGS1	ENSG00000090104	3.314455576	0.59460614	5.574203414	2.49E-08	2.12E-06	3.417303819	0.425615665	8.02908375	9.82E-16	2.63E-13
OAS3	ENSG00000111331	3.214513428	0.326245389	9.853053994	6.65E-23	5.51E-20	2.551206001	0.263807536	9.670709323	4.02E-22	2.54E-19
TNFSF13B	ENSG00000102524	3.197145967	0.421425803	7.586497899	3.29E-14	1.12E-11	2.895539281	0.384558274	7.529520165	5.09E-14	1.02E-11
GBA3	ENSG00000249948	3.196839982	0.481360442	6.641260283	3.11E-11	6.08E-09	1.909855423	0.602742601	3.168608654	0.001531705	0.011124654
ELOVL3	ENSG00000119915	3.179221556	0.480027386	6.623000372	3.52E-11	6.83E-09	1.736728658	0.506644944	3.427900896	0.000608267	0.005487667
SPP1	ENSG00000118785	3.175648347	0.541203973	5.867747659	4.42E-09	4.63E-07	4.097646292	0.363926985	11.25952858	2.08E-29	2.15E-26
CXCL8	ENSG00000169429	3.172076174	0.586295375	5.410372161	6.29E-08	4.53E-06	4.411316263	0.431152214	10.23145915	1.43E-24	1.21E-21
CXCL2	ENSG00000081041	3.166984994	0.660059611	4.798028757	1.60E-06	6.98E-05	2.002525606	0.446249627	4.487456091	7.21E-06	0.000165861
ETV7	ENSG00000010030	3.144548165	0.381582124	8.240816241	1.71E-16	7.88E-14	2.44518811	0.322726609	7.576654792	3.55E-14	7.40E-12
NMI	ENSG00000123609	3.136973651	0.324263153	9.67416008	3.88E-22	3.01E-19	2.433996327	0.336384308	7.235760605	4.63E-13	7.86E-11
RTP4	ENSG00000136514	3.126626895	0.342636389	9.125203835	7.16E-20	4.52E-17	2.695010718	0.384285374	7.013045246	2.33E-12	3.42E-10
OTOF	ENSG00000115155	3.109624311	0.636297291	4.887061996	1.02E-06	4.92E-05	3.104838492	0.409209245	7.58741042	3.26E-14	6.88E-12
HS6ST3	ENSG00000185352	3.095778405	0.598463732	5.172875549	2.31E-07	1.40E-05	2.36652147	0.908757792	2.604127844	0.009210839	0.042152372
LINC01914	ENSG00000234362	3.086721439	0.621745704	4.96460437	6.88E-07	3.55E-05	2.266347067	0.854812807	2.651278792	0.008018762	0.037938695
GRIP2	ENSG00000144596	3.066115144	0.491862952	6.233677762	4.56E-10	6.41E-08	1.719769074	0.40317505	4.26556423	1.99E-05	0.000372941
TIMD4	ENSG00000145850	3.024179243	0.591884546	5.10940734	3.23E-07	1.86E-05	3.670761926	0.476023945	7.7112968	1.25E-14	2.78E-12
PLSCR1	ENSG00000188313	2.998530924	0.290154815	10.33424493	4.93E-25	6.09E-22	2.603681202	0.258780942	10.06133288	8.19E-24	6.21E-21
P2RX2	ENSG00000187848	2.992001259	0.37577594	7.962194871	1.69E-15	6.96E-13	1.647059921	0.343654513	4.792778389	1.64E-06	4.96E-05
IL4I1	ENSG00000104951	2.982392057	0.645382006	4.62112676	3.82E-06	0.000140867	2.97258245	0.35045866	8.481977448	2.21E-17	7.31E-15
OAS2	ENSG00000111335	2.959184029	0.295130689	10.02669034	1.16E-23	1.05E-20	2.502288635	0.263129162	9.509735138	1.91E-21	1.14E-18
STAP1	ENSG00000035720	2.932284857	0.475859252	6.162084368	7.18E-10	9.42E-08	3.085983932	0.395743031	7.797948898	6.29E-15	1.45E-12
IRF7	ENSG00000185507	2.924966791	0.339147866	8.624458791	6.44E-18	3.43E-15	2.641048736	0.309193419	8.541736585	1.32E-17	4.49E-15
CD274	ENSG00000120217	2.918528249	0.489324108	5.964407236	2.46E-09	2.73E-07	2.73671504	0.26766794	10.2242915	1.54E-24	1.25E-21
RNU4-2	ENSG00000202538	2.91603563	1.026250823	2.841445351	0.004490955	0.029276887	2.813707943	0.899917003	3.126630492	0.00176822	0.012437647
POTEF	ENSG00000196604	2.912628389	0.7524538	3.870840159	0.000108461	0.001985404	2.245191695	0.670604302	3.348012665	0.000813933	0.006838959
SAA2	ENSG00000134339	2.889124455	0.860833491	3.3561943	0.00079023	0.008542198	3.909374179	1.05185899	3.71663333	0.000201895	0.002343466
EPSTI1	ENSG00000133106	2.878815046	0.314465217	9.154637426	5.45E-20	3.80E-17	2.437702117	0.292900582	8.322626402	8.60E-17	2.65E-14
CCDC152	ENSG00000198865	2.873586526	0.571329204	5.029651047	4.91E-07	2.65E-05	1.926551946	0.379862924	5.071703032	3.94E-07	1.46E-05
ZBP1	ENSG00000124256	2.860183003	0.470185757	6.08309155	1.18E-09	1.45E-07	2.787559262	0.415149032	6.714598967	1.89E-11	2.37E-09
C15orf48	ENSG00000166920	2.831362897	0.582636764	4.859567867	1.18E-06	5.45E-05	4.020296832	0.447884941	8.976182202	2.80E-19	1.23E-16
NKAIN4	ENSG00000101198	2.829221594	0.50804434	5.568847782	2.56E-08	2.16E-06	1.461328408	0.571381202	2.557536725	0.010541643	0.046474699
MT2A	ENSG00000125148	2.827740536	0.511272295	5.530791641	3.19E-08	2.61E-06	1.124112995	0.332079865	3.385068215	0.000711606	0.006179919
TNFAIP6	ENSG00000123610	2.810886319	0.396810618	7.083697335	1.40E-12	3.67E-10	2.053957558	0.383247717	5.35934714	8.35E-08	3.97E-06
SECTM1	ENSG00000141574	2.80904358	0.491464285	5.715661682	1.09E-08	1.06E-06	2.069625434	0.258001309	8.021763316	1.04E-15	2.76E-13
BST2	ENSG00000130303	2.780622321	0.277114749	10.03419102	1.08E-23	1.01E-20	2.134264969	0.273010856	7.817509518	5.39E-15	1.26E-12
LY6E	ENSG00000160932	2.775962969	0.30381372	9.137055982	6.42E-20	4.15E-17	2.261069835	0.309162422	7.313533829	2.60E-13	4.56E-11
FFAR2	ENSG00000126262	2.759361756	0.660240882	4.179325805	2.92E-05	0.000714883	2.346073046	0.387669612	6.051733165	1.43E-09	1.16E-07
EIF2AK2	ENSG00000055332	2.752604973	0.274858978	10.01460819	1.31E-23	1.15E-20	2.023491838	0.276992906	7.305211768	2.77E-13	4.81E-11
APOBEC3A	ENSG00000128383	2.747441738	0.944937731	2.90753734	0.003642869	0.025263856	2.705674137	0.369549502	7.321547241	2.45E-13	4.39E-11
APOBEC3A_B	ENSG00000128383	2.747441738	0.944937731	2.90753734	0.003642869	0.025263856	2.705674137	0.369549502	7.321547241	2.45E-13	4.39E-11
IL6	ENSG00000136244	2.745287376	0.625953748	4.385767136	1.16E-05	0.00034616	3.083909221	0.569387427	5.416187774	6.09E-08	3.01E-06
IFI44	ENSG00000137965	2.740166571	0.234099023	11.70516021	1.20E-31	2.33E-28	2.438449451	0.264833534	9.20747993	3.34E-20	1.62E-17
LINC02528	ENSG00000226004	2.72738392	0.908864494	3.0008697	0.002692097	0.020404806	3.005046878	0.997285803	3.013225365	0.002584869	0.016421095
IFIT5	ENSG00000152778	2.701452127	0.267045834	10.11606168	4.69E-24	4.72E-21	2.336617951	0.271544726	8.604910072	7.64E-18	2.72E-15
GBP1P1	ENSG00000225492	2.680902088	0.421382983	6.36215082	1.99E-10	3.14E-08	1.718688873	0.338650237	5.07511493	3.87E-07	1.44E-05
CCL2	ENSG00000108691	2.679084198	0.401274788	6.6764329	2.45E-11	4.96E-09	2.93445761	0.367060635	7.994476463	1.30E-15	3.37E-13
CD80	ENSG00000121594	2.667629704	0.555287724	4.80404948	1.55E-06	6.78E-05	3.772744228	0.432347524	8.726184416	2.63E-18	9.67E-16
FFAR3	ENSG00000185897	2.663172964	0.690800711	3.855197194	0.000115636	0.002083065	2.913638675	0.874556882	3.331559944	0.000863607	0.007159481
PNPT1	ENSG00000138035	2.658428597	0.298490842	8.906231677	5.28E-19	3.05E-16	1.77997756	0.262145416	6.79003886	1.12E-11	1.47E-09
BATF2	ENSG00000168062	2.65496452	0.342302366	7.75619682	8.75E-15	3.30E-12	2.00008418	0.214309533	9.332688786	1.03E-20	5.22E-18
GPR84	ENSG00000139572	2.639603865	0.761605144	3.46584301	0.000528572	0.006333769	3.25668564	0.432619061	7.527836698	5.16E-14	1.02E-11
RBM11	ENSG00000185272	2.573283875	0.403964097	6.370080639	1.89E-10	3.02E-08	1.814148704	0.396817458	4.571746195	4.84E-06	0.000123148
BCL2L14	ENSG00000121380	2.566507697	0.483722905	5.305739439	1.12E-07	7.47E-06	2.38388014	0.48999116	4.865149286	1.14E-06	3.67E-05
RET	ENSG00000165731	2.564786852	0.400284564	6.407408828	1.48E-10	2.51E-08	1.448066991	0.354102979	4.08939511	4.32E-05	0.000698195
CCDC194	ENSG00000269720	2.562406903	0.372464601	6.879598477	6.00E-12	1.38E-09	1.659935073	0.323029726	5.138644959	2.77E-07	1.09E-05
LILRA5	ENSG00000187116	2.551909787	0.648824854	3.933125821	8.38E-05	0.001642206	2.420424706	0.36854342	6.567542865	5.12E-11	5.76E-09
CALHM6	ENSG00000188820	2.546912737	0.597882554	4.259888033	2.05E-05	0.000541524	2.938339348	0.347934397	8.445095894	3.04E-17	9.60E-15
PMAIP1	ENSG00000141682	2.54512201	0.376350743	6.76263315	1.36E-11	2.97E-09	2.385553566	0.3845874	6.202890598	5.54E-10	4.81E-08
SSTR3	ENSG00000278195	2.53732398	0.690957895	3.67218321	0.000240487	0.003567905	3.226392057	0.661063168	4.880610829	1.06E-06	3.43E-05
CCL11	ENSG00000172156	2.52994331	0.295931769	8.549076415	1.24E-17	6.48E-15	1.103596941	0.341530478	3.231327837	0.001232165	0.009442929
TFEC	ENSG00000105967	2.525125772	0.483760689	5.2197829	1.79E-07	1.13E-05	3.535388498	0.398987781	8.860894157	7.94E-19	3.01E-16
OSM	ENSG00000099985	2.524977804	0.617858619	4.086659515	4.38E-05	0.000991463	3.2767939	0.484091991	6.768948801	1.30E-11	1.67E-09
NAMPT	ENSG00000105835	2.510137758	0.34619547	7.250637219	4.15E-13	1.19E-10	2.43168758	0.319017918	7.622416925	2.49E-14	5.35E-12
ELAVL4	ENSG00000162374	2.497211975	0.482950737	5.170738508	2.33E-07	1.41E-05	2.086376543	0.44323527	4.707153704	2.51E-06	7.15E-05
APOL6	ENSG00000221963	2.479197355	0.33091718	7.491896768	6.79E-14	2.20E-11	2.018609576	0.304615588	6.626744192	3.43E-11	4.03E-09
RNASE2	ENSG00000169385	2.474152234	0.608970226	4.062845981	4.85E-05	0.001067184	3.301033453	0.441948872	7.469265486	8.06E-14	1.50E-11
SLFN12L	ENSG00000205045	2.472422012	0.418268869	5.91108303	3.40E-09	3.68E-07	1.598315365	0.350926934	4.554553128	5.25E-06	0.000130778
TRIM21	ENSG00000132109	2.470533827	0.245283925	10.07213916	7.34E-24	7.12E-21	2.173068761	0.329565118	6.593746259	4.29E-11	4.88E-09
RUFY4	ENSG00000188282	2.464474742	0.51166077	4.816618521	1.46E-06	6.49E-05	1.521913035	0.348996263	4.36082903	1.30E-05	0.000265224
IFITM2	ENSG00000185201	2.460240319	0.490247276	5.018366116	5.21E-07	2.79E-05	1.051243509	0.293614818	3.580348966	0.000343136	0.003545371
GPR171	ENSG00000174946	2.440053473	0.688857068	3.542176725	0.00039684	0.005167925	3.123722775	0.946180401	3.301402957	0.000962026	0.007774396
TNFSF18	ENSG00000120337	2.429021293	0.456888414	5.316443176	1.06E-07	7.06E-06	2.803112605	0.471268866	5.948011432	2.71E-09	2.05E-07
PRG2	ENSG00000186652	2.42871213	0.679872335	3.572306159	0.000353851	0.004756246	4.524850821	0.678982484	6.664164291	2.66E-11	3.19E-09
RETN	ENSG00000104918	2.405156568	0.609816432	3.944066514	8.01E-05	0.00158271	3.16930026	0.580728759	5.457453609	4.83E-08	2.48E-06
ELOVL7	ENSG00000164181	2.40183211	0.425957209	5.638669943	1.71E-08	1.57E-06	1.684002821	0.272790799	6.173239075	6.69E-10	5.68E-08
ATP10B	ENSG00000118322	2.398937002	0.603581188	3.974505913	7.05E-05	0.00143801	2.469682062	0.652882138	3.782737985	0.000155113	0.001905383
SSTR2	ENSG00000180616	2.392426151	0.369765037	6.470125376	9.79E-11	1.68E-08	1.527505808	0.30496201	5.008839657	5.48E-07	1.96E-05
IFITM3	ENSG00000142089	2.387741413	0.328382463	7.271220861	3.56E-13	1.05E-10	1.337375533	0.263116934	5.082818168	3.72E-07	1.40E-05
SDS	ENSG00000135094	2.385163798	0.540181784	4.415483579	1.01E-05	0.000309357	4.783920906	0.341389811	14.01307464	1.30E-44	5.90E-41
CD69	ENSG00000110848	2.378024068	0.585215666	4.063500355	4.83E-05	0.001066036	2.875347631	0.478320307	6.01134342	1.84E-09	1.45E-07
XKR4	ENSG00000206579	2.353698647	0.521272823	4.515291306	6.32E-06	0.000210495	2.334507393	0.716611675	3.257702147	0.001123182	0.008736673
NCOA7	ENSG00000111912	2.337629334	0.372152357	6.281377209	3.36E-10	4.90E-08	1.993636862	0.283856186	7.023404666	2.17E-12	3.22E-10
C1R	ENSG00000159403	2.335366411	0.306601224	7.616950699	2.60E-14	9.16E-12	2.168007586	0.290714713	7.457508994	8.82E-14	1.62E-11
NKX3-1	ENSG00000167034	2.327058156	0.417463974	5.574272996	2.49E-08	2.12E-06	1.266495709	0.340360822	3.721038455	0.000198405	0.002311208
DTX3L	ENSG00000163840	2.295376611	0.277454102	8.272995767	1.31E-16	6.12E-14	1.788388145	0.22266855	8.031615352	9.62E-16	2.63E-13
DRAP1	ENSG00000175550	2.28807025	0.225922512	10.12767708	4.16E-24	4.35E-21	1.840358849	0.33123155	5.556109762	2.76E-08	1.52E-06
GALNTL6	ENSG00000174473	2.28520357	0.63008408	3.626823219	0.00028693	0.004053272	2.394105509	0.720576254	3.322487378	0.000892187	0.007349862
GBP1	ENSG00000117228	2.283389034	0.372371282	6.132022372	8.68E-10	1.10E-07	1.923055333	0.345912164	5.559374703	2.71E-08	1.50E-06
FCGR3B	ENSG00000162747	2.274509804	0.554510396	4.101834377	4.10E-05	0.000942013	2.258577818	0.403619808	5.59580519	2.20E-08	1.26E-06
CCR1	ENSG00000163823	2.270345727	0.516260159	4.397677581	1.09E-05	0.000330988	2.847646972	0.310754355	9.163659102	5.02E-20	2.38E-17
LOC105373098	ENSG00000272666	2.262569242	0.539182343	4.196296992	2.71E-05	0.000674314	2.303786407	0.520651268	4.424816666	9.65E-06	0.000211055
PI4K2B	ENSG00000038210	2.253647062	0.307585134	7.326905026	2.36E-13	7.11E-11	2.10461277	0.287529873	7.319631687	2.49E-13	4.40E-11
GCH1	ENSG00000131979	2.253599402	0.45975066	4.90178612	9.50E-07	4.70E-05	2.190330128	0.341423336	6.415291221	1.41E-10	1.41E-08
BIRC3	ENSG00000023445	2.247315242	0.562996041	3.991707011	6.56E-05	0.001357203	2.224504441	0.449267068	4.951407743	7.37E-07	2.52E-05
SP110	ENSG00000135899	2.24527116	0.316026821	7.104685468	1.21E-12	3.20E-10	1.626462943	0.287337717	5.660457523	1.51E-08	9.04E-07
IFI27	ENSG00000165949	2.245215432	0.382182096	5.874726884	4.24E-09	4.46E-07	2.031006525	0.287755869	7.058088963	1.69E-12	2.61E-10
CD38	ENSG00000004468	2.243705159	0.516453053	4.344451345	1.40E-05	0.000403499	1.970581406	0.369212493	5.33725549	9.44E-08	4.43E-06
ACE2	ENSG00000130234	2.23782535	0.363531089	6.155801852	7.47E-10	9.72E-08	1.446304841	0.324075239	4.462867464	8.09E-06	0.000181894
UBE2L6	ENSG00000156587	2.232749074	0.294805945	7.573622967	3.63E-14	1.22E-11	1.685777534	0.268180612	6.285978406	3.26E-10	3.03E-08
TREX1	ENSG00000213689	2.228115032	0.391631663	5.689312791	1.28E-08	1.21E-06	1.665638934	0.355351279	4.687302492	2.77E-06	7.77E-05
H2AC19	ENSG00000272196	2.227725101	0.461551113	4.82660541	1.39E-06	6.25E-05	1.733050269	0.394447727	4.393612003	1.11E-05	0.000238046
SIGLEC12	ENSG00000254521	2.224076916	0.755335649	2.944488214	0.003234893	0.023266047	3.028204649	0.44728887	6.770131903	1.29E-11	1.66E-09
HELZ2	ENSG00000130589	2.211895316	0.433160537	5.106410041	3.28E-07	1.88E-05	1.783698305	0.274971193	6.486855175	8.76E-11	9.15E-09
AIM2	ENSG00000163568	2.194190312	0.530836946	4.133454401	3.57E-05	0.00084266	2.82680301	0.444402165	6.360911885	2.01E-10	1.94E-08
SAMD9L	ENSG00000177409	2.189380336	0.316215216	6.923703314	4.40E-12	1.04E-09	1.793210066	0.30224135	5.933040157	2.97E-09	2.21E-07
TDRD7	ENSG00000196116	2.18714772	0.298396725	7.329663945	2.31E-13	7.04E-11	1.830271574	0.289530876	6.321507392	2.59E-10	2.46E-08
S100A9	ENSG00000163220	2.167740782	0.524485649	4.133079307	3.58E-05	0.000843305	3.321264903	0.410502182	8.090736285	5.93E-16	1.67E-13
HSH2D	ENSG00000196684	2.157363553	0.34107179	6.325247684	2.53E-10	3.83E-08	1.956047916	0.331296315	5.904224783	3.54E-09	2.59E-07
FPR2	ENSG00000171049	2.155240034	0.737014478	2.924284526	0.00345249	0.024353907	2.63883815	0.480616329	5.490529535	4.01E-08	2.10E-06
LTA	ENSG00000226979	2.153477677	0.705537461	3.052251364	0.002271318	0.018179245	2.184139238	0.554769205	3.937023213	8.25E-05	0.001158442
RND1	ENSG00000172602	2.151740415	0.485912874	4.428243269	9.50E-06	0.000294946	2.019682195	0.357595099	5.647958259	1.62E-08	9.65E-07
HPSE	ENSG00000173083	2.146606529	0.547000319	3.924324085	8.70E-05	0.001688804	2.611014965	0.275026271	9.493692922	2.23E-21	1.30E-18
DHX58	ENSG00000108771	2.143166125	0.341195688	6.281340008	3.36E-10	4.90E-08	1.661469482	0.253669705	6.549735548	5.76E-11	6.40E-09
FCGR1CP	ENSG00000265531	2.135351934	0.515561712	4.141796963	3.45E-05	0.000818979	2.655715551	0.402403145	6.59963916	4.12E-11	4.71E-09
LINC01506	ENSG00000234506	2.132030014	0.792266432	2.691051808	0.007122713	0.04082036	3.137398791	1.014015174	3.094035346	0.00197454	0.013492786
STAT1	ENSG00000115415	2.118751037	0.293654722	7.215109722	5.39E-13	1.51E-10	2.037644626	0.297787563	6.842611573	7.78E-12	1.06E-09
H4C3	ENSG00000197061	2.113995197	0.5839329	3.620270746	0.000294295	0.004141493	1.603512133	0.617898112	2.595107675	0.009456129	0.043005076
