SYMBOL	Ensembl_IDs	log2FoldChange	lfcSE	stat	pvalue	padj
PRG2	ENSG00000186652	4.524850821	0.678982484	6.664164291	2.66E-11	3.19E-09
OASL	ENSG00000135114	4.49529485	0.360233644	12.47883123	9.74E-36	1.58E-32
CXCL13	ENSG00000156234	4.482066774	1.329052081	3.372378584	0.000745219	0.006398598
CCL19	ENSG00000172724	4.467576932	1.062248921	4.205772155	2.60E-05	0.000463057
CXCL8	ENSG00000169429	4.411316263	0.431152214	10.23145915	1.43E-24	1.21E-21
IL1RN	ENSG00000136689	4.397651419	0.273829201	16.05983367	4.88E-58	5.55E-54
NA	ENSG00000255439	4.391318852	0.533569574	8.230077329	1.87E-16	5.60E-14
MX2	ENSG00000183486	4.27322793	0.289779786	14.74646659	3.24E-49	1.84E-45
TSIX	ENSG00000270641	4.24533987	1.284210225	3.305798216	0.000947063	0.007696194
MMP12	ENSG00000262406	4.243779282	0.595162561	7.130454025	1.00E-12	1.64E-10
ISG15	ENSG00000187608	4.227841668	0.367018354	11.51942845	1.05E-30	1.26E-27
IFNA1	ENSG00000197919	4.124375997	1.384382626	2.979216815	0.002889862	0.017784516
SPP1	ENSG00000118785	4.097646292	0.363926985	11.25952858	2.08E-29	2.15E-26
MMP9	ENSG00000100985	4.096530885	0.309299249	13.24455489	4.85E-40	1.00E-36
IL27	ENSG00000197272	4.071527326	0.543993627	7.484512915	7.18E-14	1.39E-11
NA	ENSG00000211725	4.032392987	1.34830335	2.990716435	0.002783238	0.017332987
C15orf48	ENSG00000166920	4.020296832	0.447884941	8.976182202	2.80E-19	1.23E-16
NA	ENSG00000213492	4.006873004	0.62867163	6.373554672	1.85E-10	1.81E-08
DEFB1	ENSG00000164825	3.992605502	0.642482535	6.214340912	5.15E-10	4.53E-08
NA	ENSG00000228318	3.92170121	0.707161793	5.545691593	2.93E-08	1.60E-06
SAA2	ENSG00000134339	3.909374179	1.05185899	3.71663333	0.000201895	0.002343466
TMEM189-UBE2V1	ENSG00000124208	3.85116162	1.122439716	3.431063213	0.00060122	0.005450012
IFIT2	ENSG00000119922	3.832315999	0.304549993	12.58353666	2.60E-36	4.55E-33
CD80	ENSG00000121594	3.772744228	0.432347524	8.726184416	2.63E-18	9.67E-16
NA	ENSG00000251230	3.717830764	0.843060444	4.409921961	1.03E-05	0.00022353
OAS1	ENSG00000089127	3.672837458	0.319851335	11.48295178	1.61E-30	1.83E-27
TIMD4	ENSG00000145850	3.670761926	0.476023945	7.7112968	1.25E-14	2.78E-12
MX1	ENSG00000157601	3.657625042	0.246638802	14.82988489	9.39E-50	7.12E-46
AQP9	ENSG00000103569	3.630628902	0.323779536	11.21327476	3.51E-29	3.47E-26
NKAIN1	ENSG00000084628	3.62825727	0.65112039	5.572329368	2.51E-08	1.40E-06
LINC01010	ENSG00000236700	3.594292189	0.728055497	4.9368382	7.94E-07	2.69E-05
IL26	ENSG00000111536	3.587077202	0.994958564	3.605252854	0.000311849	0.003302164
NA	ENSG00000280370	3.556127566	0.71461891	4.9762573	6.48E-07	2.25E-05
TFEC	ENSG00000105967	3.535388498	0.398987781	8.860894157	7.94E-19	3.01E-16
NA	ENSG00000266728	3.511603065	1.023587159	3.430682999	0.000602064	0.005451023
CMPK2	ENSG00000134326	3.495774344	0.253618716	13.78358191	3.20E-43	1.21E-39
NA	ENSG00000132832	3.493635117	0.683029755	5.114909109	3.14E-07	1.22E-05
RSAD2	ENSG00000134321	3.467281126	0.283221474	12.24229602	1.85E-34	2.63E-31
NA	ENSG00000175841	3.465120354	1.056541081	3.279683503	0.001039236	0.008216426
OLFM4	ENSG00000102837	3.459352072	0.768091231	4.503829665	6.67E-06	0.000155964
IFNL1	ENSG00000182393	3.438621362	0.853987204	4.026549045	5.66E-05	0.000861781
SPINK1	ENSG00000164266	3.429431832	1.254948861	2.732726359	0.006281249	0.031478159
RGS1	ENSG00000090104	3.417303819	0.425615665	8.02908375	9.82E-16	2.63E-13
CCL20	ENSG00000115009	3.396720526	1.231862183	2.757386803	0.005826538	0.029839779
MSR1	ENSG00000038945	3.393499642	0.358989369	9.452925168	3.29E-21	1.87E-18
NA	ENSG00000227117	3.385637941	0.659042687	5.137205838	2.79E-07	1.10E-05
HAMP	ENSG00000105697	3.376667305	0.599594776	5.631582264	1.79E-08	1.05E-06
S100A9	ENSG00000163220	3.321264903	0.410502182	8.090736285	5.93E-16	1.67E-13
RNASE2	ENSG00000169385	3.301033453	0.441948872	7.469265486	8.06E-14	1.50E-11
SLC10A2	ENSG00000125255	3.289434121	0.368960488	8.915410273	4.86E-19	1.94E-16
OSM	ENSG00000099985	3.2767939	0.484091991	6.768948801	1.30E-11	1.67E-09
LOC102724153	ENSG00000224721	3.273979032	0.827415025	3.956876458	7.59E-05	0.001084353
GPR84	ENSG00000139572	3.25668564	0.432619061	7.527836698	5.16E-14	1.02E-11
LILRB4	ENSG00000186818	3.246895014	0.30091252	10.7901626	3.83E-27	3.49E-24
CFB	ENSG00000243649	3.238524556	0.374210932	8.654275658	4.96E-18	1.79E-15
HESX1	ENSG00000163666	3.232973415	0.362130712	8.927642174	4.35E-19	1.77E-16
ADAMDEC1	ENSG00000134028	3.229231144	0.555130968	5.817061794	5.99E-09	4.12E-07
NA	ENSG00000203446	3.229125738	0.534129437	6.045586543	1.49E-09	1.20E-07
SSTR3	ENSG00000278195	3.226392057	0.661063168	4.880610829	1.06E-06	3.43E-05
LOC101928228	ENSG00000236120	3.21662804	0.448804686	7.167099951	7.66E-13	1.27E-10
TRAT1	ENSG00000163519	3.207905972	1.05526448	3.039907088	0.002366511	0.015403641
CD163	ENSG00000177575	3.203122619	0.276448248	11.58669892	4.81E-31	6.09E-28
NA	ENSG00000273017	3.194782363	0.939215067	3.40154505	0.000670061	0.005909308
IFITM1	ENSG00000185885	3.175728227	0.34901683	9.099069017	9.11E-20	4.23E-17
RETN	ENSG00000104918	3.16930026	0.580728759	5.457453609	4.83E-08	2.48E-06
S100A12	ENSG00000163221	3.161311102	0.539675754	5.857797162	4.69E-09	3.34E-07
RAB39A	ENSG00000179331	3.159260441	0.536649987	5.887003665	3.93E-09	2.86E-07
NT5C3A	ENSG00000122643	3.155324197	0.366765826	8.603103053	7.76E-18	2.72E-15
LINC01506	ENSG00000234506	3.137398791	1.014015174	3.094035346	0.00197454	0.013492786
LINC02574	ENSG00000233975	3.131551801	0.802443091	3.90252198	9.52E-05	0.001299845
GPR171	ENSG00000174946	3.123722775	0.946180401	3.301402957	0.000962026	0.007774396
GTSF1	ENSG00000170627	3.113794604	0.611839227	5.089236626	3.60E-07	1.36E-05
IFI44L	ENSG00000137959	3.109727473	0.234348371	13.26967819	3.47E-40	7.90E-37
OTOF	ENSG00000115155	3.104838492	0.409209245	7.58741042	3.26E-14	6.88E-12
PLA2G7	ENSG00000146070	3.094739196	0.328019276	9.434626012	3.92E-21	2.18E-18
OLIG2	ENSG00000205927	3.09471226	0.984592512	3.143140156	0.001671458	0.011892567
ALPK2	ENSG00000198796	3.094354633	0.631872526	4.897118493	9.73E-07	3.20E-05
STAP1	ENSG00000035720	3.085983932	0.395743031	7.797948898	6.29E-15	1.45E-12
IL6	ENSG00000136244	3.083909221	0.569387427	5.416187774	6.09E-08	3.01E-06
MMP7	ENSG00000137673	3.073111937	0.230522174	13.33109039	1.53E-40	3.86E-37
HMOX1	ENSG00000100292	3.06945729	0.326731558	9.394431656	5.75E-21	2.98E-18
CLDN6	ENSG00000184697	3.066349569	0.343295857	8.93209023	4.18E-19	1.73E-16
CEBPE	ENSG00000092067	3.063956967	0.630431707	4.860093384	1.17E-06	3.75E-05
VSIG4	ENSG00000155659	3.058398293	0.241799025	12.64851374	1.14E-36	2.16E-33
USP18	ENSG00000184979	3.040433413	0.280200437	10.85092316	1.97E-27	1.87E-24
SIGLEC12	ENSG00000254521	3.028204649	0.44728887	6.770131903	1.29E-11	1.66E-09
HERC5	ENSG00000138646	3.022043038	0.299725537	10.0827012	6.59E-24	5.17E-21
NA	ENSG00000274944	3.00569609	0.727648391	4.130698462	3.62E-05	0.000605803
LINC02528	ENSG00000226004	3.005046878	0.997285803	3.013225365	0.002584869	0.016421095
IFIH1	ENSG00000115267	2.988001946	0.29864425	10.00522176	1.45E-23	1.06E-20
NA	ENSG00000274415	2.986781355	0.372406994	8.020207471	1.06E-15	2.76E-13
IL4I1	ENSG00000104951	2.97258245	0.35045866	8.481977448	2.21E-17	7.31E-15
LY96	ENSG00000154589	2.96642819	0.379521633	7.816229512	5.44E-15	1.26E-12
BCL2A1	ENSG00000140379	2.964024051	0.408855187	7.249569387	4.18E-13	7.16E-11
NA	ENSG00000225101	2.956509874	0.675788437	4.3749045	1.21E-05	0.000253926
CCL3	ENSG00000277632	2.952514813	0.348175344	8.479965232	2.25E-17	7.32E-15
C1QC	ENSG00000159189	2.939441069	0.237911702	12.35517651	4.57E-35	6.93E-32
CALHM6	ENSG00000188820	2.938339348	0.347934397	8.445095894	3.04E-17	9.60E-15
NA	ENSG00000211780	2.936527789	0.85782903	3.423208689	0.000618865	0.005559043
CCL2	ENSG00000108691	2.93445761	0.367060635	7.994476463	1.30E-15	3.37E-13
HERC6	ENSG00000138642	2.928807323	0.249060724	11.75941064	6.32E-32	8.46E-29
MAS1L	ENSG00000204687	2.928261781	0.920474029	3.181254102	0.001466389	0.010750676
CNTN2	ENSG00000184144	2.926096698	0.633157507	4.621435686	3.81E-06	0.000101051
C2CD4A	ENSG00000198535	2.924365761	0.787140065	3.715178393	0.00020306	0.00235579
OR8G5	ENSG00000255298	2.923466974	0.847492448	3.449549292	0.000561523	0.005165034
NA	ENSG00000272410	2.917584326	0.394834759	7.389380645	1.48E-13	2.66E-11
FFAR3	ENSG00000185897	2.913638675	0.874556882	3.331559944	0.000863607	0.007159481
LUCAT1	ENSG00000248323	2.912521228	0.814722869	3.574861269	0.000350414	0.003604209
NA	ENSG00000214144	2.911341919	0.983002504	2.961683115	0.003059625	0.018512276
ISG20	ENSG00000172183	2.903709565	0.363608386	7.985815729	1.40E-15	3.57E-13
PHYHIPL	ENSG00000165443	2.900340691	0.446026304	6.502622527	7.89E-11	8.40E-09
TNFSF13B	ENSG00000102524	2.895539281	0.384558274	7.529520165	5.09E-14	1.02E-11
PRSS2	ENSG00000275896	2.89429722	0.91739113	3.154921739	0.001605412	0.011540724
NA	ENSG00000251442	2.893618323	0.325934894	8.87790284	6.81E-19	2.63E-16
SRGN	ENSG00000122862	2.877877876	0.385588338	7.463601959	8.42E-14	1.56E-11
CD69	ENSG00000110848	2.875347631	0.478320307	6.01134342	1.84E-09	1.45E-07
NA	ENSG00000261822	2.874093485	0.950041318	3.025229989	0.002484441	0.015956529
CCR1	ENSG00000163823	2.847646972	0.310754355	9.163659102	5.02E-20	2.38E-17
IFIT3	ENSG00000119917	2.843145257	0.270733738	10.50162893	8.49E-26	7.43E-23
LOC105369609	ENSG00000256862	2.840439008	0.873680473	3.251118796	0.001149518	0.008911898
MS4A4A	ENSG00000110079	2.838080584	0.351154742	8.082136573	6.36E-16	1.77E-13
CXCL5	ENSG00000163735	2.83565824	0.601952858	4.710764646	2.47E-06	7.04E-05
CPA3	ENSG00000163751	2.831976417	0.376676279	7.518329598	5.55E-14	1.08E-11
CLEC6A	ENSG00000205846	2.831865906	0.965972839	2.931620632	0.003371984	0.019916201
AIM2	ENSG00000163568	2.82680301	0.444402165	6.360911885	2.01E-10	1.94E-08
DCSTAMP	ENSG00000164935	2.824057857	0.918270408	3.075409851	0.002102135	0.014152259
SUCNR1	ENSG00000198829	2.823099071	0.317409932	8.894173701	5.89E-19	2.31E-16
RNU4-2	ENSG00000202538	2.813707943	0.899917003	3.126630492	0.00176822	0.012437647
LGALS17A	ENSG00000226025	2.813225821	0.540828166	5.201699909	1.97E-07	8.25E-06
TNFSF18	ENSG00000120337	2.803112605	0.471268866	5.948011432	2.71E-09	2.05E-07
LOC102724265	ENSG00000255980	2.79998456	0.906799976	3.087764262	0.002016684	0.013718995
NA	ENSG00000224505	2.79856116	0.792477792	3.531406415	0.000413356	0.00408901
ZBP1	ENSG00000124256	2.787559262	0.415149032	6.714598967	1.89E-11	2.37E-09
IFI6	ENSG00000126709	2.782856498	0.448665303	6.202522195	5.56E-10	4.81E-08
KCNK13	ENSG00000152315	2.779499477	0.465592428	5.969812452	2.38E-09	1.81E-07
CHI3L2	ENSG00000064886	2.778456285	0.46347114	5.994885216	2.04E-09	1.58E-07
LOC644090	ENSG00000242048	2.773266452	0.693533487	3.998749166	6.37E-05	0.000941196
SAMSN1	ENSG00000155307	2.773119611	0.370964881	7.475423559	7.70E-14	1.46E-11
LOC388813	ENSG00000155307	2.773119611	0.370964881	7.475423559	7.70E-14	1.46E-11
NA	ENSG00000226751	2.771330249	0.695077548	3.98708066	6.69E-05	0.000979151
NA	ENSG00000211779	2.760382684	1.040421091	2.653139875	0.007974682	0.037806177
FCGR1A	ENSG00000150337	2.758598966	0.284402472	9.699630747	3.03E-22	1.97E-19
CD274	ENSG00000120217	2.73671504	0.26766794	10.2242915	1.54E-24	1.25E-21
FPR1	ENSG00000171051	2.72662409	0.382852235	7.121870636	1.06E-12	1.71E-10
NA	ENSG00000222017	2.720953267	0.672597041	4.045443411	5.22E-05	0.000814196
IFI35	ENSG00000068079	2.711560174	0.307851125	8.808024247	1.27E-18	4.75E-16
APOBEC3A	ENSG00000128383	2.705674137	0.369549502	7.321547241	2.45E-13	4.39E-11
APOBEC3A_B	ENSG00000128383	2.705674137	0.369549502	7.321547241	2.45E-13	4.39E-11
NA	ENSG00000261654	2.698186271	0.672737949	4.01075378	6.05E-05	0.000908157
RTP4	ENSG00000136514	2.695010718	0.384285374	7.013045246	2.33E-12	3.42E-10
NA	ENSG00000232869	2.69462799	0.842995867	3.196490154	0.001391106	0.010309315
SAMD9	ENSG00000205413	2.684276602	0.358892891	7.479325073	7.47E-14	1.43E-11
TM4SF19	ENSG00000145107	2.682146424	0.444669753	6.031771684	1.62E-09	1.29E-07
NA	ENSG00000277089	2.68120003	0.479888556	5.587130592	2.31E-08	1.30E-06
NA	ENSG00000250687	2.677261022	0.628529913	4.259560231	2.05E-05	0.000381533
DDX58	ENSG00000107201	2.675497968	0.275626343	9.706974796	2.82E-22	1.89E-19
CLEC4D	ENSG00000166527	2.663372173	0.690931067	3.854758165	0.000115844	0.001513687
NA	ENSG00000237702	2.660366046	0.781520844	3.40408841	0.000663853	0.00586753
FCGR1CP	ENSG00000265531	2.655715551	0.402403145	6.59963916	4.12E-11	4.71E-09
IL10	ENSG00000136634	2.651184684	0.386400315	6.861238418	6.83E-12	9.36E-10
IRF7	ENSG00000185507	2.641048736	0.309193419	8.541736585	1.32E-17	4.49E-15
RGS13	ENSG00000127074	2.639850812	0.331074231	7.973591919	1.54E-15	3.90E-13
FPR2	ENSG00000171049	2.63883815	0.480616329	5.490529535	4.01E-08	2.10E-06
TM4SF4	ENSG00000169903	2.637119941	0.576469989	4.574600575	4.77E-06	0.000121754
NA	ENSG00000211786	2.635214653	0.534313525	4.93196322	8.14E-07	2.75E-05
FPR3	ENSG00000187474	2.621404518	0.323779975	8.096252768	5.67E-16	1.63E-13
NA	ENSG00000211788	2.612963786	0.860540434	3.036421859	0.002394042	0.015516279
HPSE	ENSG00000173083	2.611014965	0.275026271	9.493692922	2.23E-21	1.30E-18
NMRAL2P	ENSG00000171658	2.603684357	0.737887609	3.528564955	0.000417819	0.004120626
PLSCR1	ENSG00000188313	2.603681202	0.258780942	10.06133288	8.19E-24	6.21E-21
CTSG	ENSG00000100448	2.603616779	0.371612798	7.006262405	2.45E-12	3.57E-10
NTSR1	ENSG00000101188	2.595068391	0.978288444	2.652661807	0.007985984	0.037830795
NA	ENSG00000211746	2.588402743	0.584858614	4.425689698	9.61E-06	0.000210608
CTSL	ENSG00000135047	2.585596461	0.189549684	13.64073207	2.29E-42	7.45E-39
NA	ENSG00000211797	2.579658664	0.725207552	3.557131549	0.000374926	0.003796297
NA	ENSG00000211794	2.575141944	0.771203642	3.33912057	0.000840441	0.007002238
ICOS	ENSG00000163600	2.572526037	0.430646922	5.97363154	2.32E-09	1.77E-07
CRAT37	ENSG00000258551	2.566031234	0.754123487	3.402667173	0.000667315	0.005889658
LINC00239	ENSG00000258512	2.563818876	0.817894534	3.134657062	0.001720551	0.012175317
SIGLEC5	ENSG00000105501	2.558745902	0.313643571	8.1581328	3.40E-16	9.93E-14
OAS3	ENSG00000111331	2.551206001	0.263807536	9.670709323	4.02E-22	2.54E-19
THEMIS	ENSG00000172673	2.541208526	0.489456712	5.191896373	2.08E-07	8.60E-06
NA	ENSG00000259185	2.536426184	0.785847563	3.227631292	0.001248197	0.009514858
EVI2A	ENSG00000126860	2.532090037	0.427259088	5.926357345	3.10E-09	2.29E-07
CLEC4E	ENSG00000166523	2.526739555	0.622634449	4.058142877	4.95E-05	0.000778638
CD8B2	ENSG00000254126	2.503512157	0.905393217	2.765110352	0.005690354	0.029304037
NNMT	ENSG00000166741	2.503400473	0.929943093	2.691993188	0.00710264	0.034637957
OAS2	ENSG00000111335	2.502288635	0.263129162	9.509735138	1.91E-21	1.14E-18
CTSE	ENSG00000196188	2.500426988	0.383567414	6.518872295	7.08E-11	7.68E-09
IL2RA	ENSG00000134460	2.497152022	0.294408425	8.48193125	2.21E-17	7.31E-15
ACOD1	ENSG00000102794	2.496258787	0.921621622	2.708550589	0.006757781	0.033303276
NA	ENSG00000279320	2.49181693	0.43501845	5.728071839	1.02E-08	6.48E-07
SLC18A2	ENSG00000165646	2.477780936	0.37619037	6.586508146	4.50E-11	5.10E-09
SELL	ENSG00000188404	2.47008811	0.831550357	2.970461248	0.002973529	0.018138102
ATP10B	ENSG00000118322	2.469682062	0.652882138	3.782737985	0.000155113	0.001905383
NA	ENSG00000278030	2.46027785	0.62899048	3.911470729	9.17E-05	0.001263977
CD68	ENSG00000129226	2.455047983	0.248587059	9.87600882	5.29E-23	3.65E-20
NA	ENSG00000211789	2.450966106	0.420018412	5.835377774	5.37E-09	3.75E-07
EPX	ENSG00000121053	2.449667216	0.879750851	2.784501103	0.005361014	0.028084556
CD3D	ENSG00000167286	2.447200356	0.942578713	2.596282224	0.009423862	0.042918359
ETV7	ENSG00000010030	2.44518811	0.322726609	7.576654792	3.55E-14	7.40E-12
NA	ENSG00000254307	2.439646565	0.871094057	2.800669511	0.005099672	0.027034464
IFI44	ENSG00000137965	2.438449451	0.264833534	9.20747993	3.34E-20	1.62E-17
EPSTI1	ENSG00000133106	2.437702117	0.292900582	8.322626402	8.60E-17	2.65E-14
GCNT3	ENSG00000140297	2.434327529	0.701320073	3.471064955	0.000518399	0.004861882
NMI	ENSG00000123609	2.433996327	0.336384308	7.235760605	4.63E-13	7.86E-11
S100A8	ENSG00000143546	2.432464546	0.463705653	5.245708205	1.56E-07	6.76E-06
NAMPT	ENSG00000105835	2.43168758	0.319017918	7.622416925	2.49E-14	5.35E-12
NA	ENSG00000265179	2.430944796	0.848496392	2.865003104	0.004170052	0.023236869
CHAC2	ENSG00000143942	2.430233968	0.474066949	5.126351826	2.95E-07	1.16E-05
GZMK	ENSG00000113088	2.430094115	0.913877247	2.659103422	0.007834891	0.03737954
CD52	ENSG00000169442	2.423423502	0.829208996	2.922572614	0.003471527	0.020330464
LILRA5	ENSG00000187116	2.420424706	0.36854342	6.567542865	5.12E-11	5.76E-09
PDCD1LG2	ENSG00000197646	2.41345605	0.334802929	7.208587019	5.65E-13	9.53E-11
C1QB	ENSG00000173369	2.412614708	0.244192114	9.879986166	5.08E-23	3.62E-20
CD8B	ENSG00000172116	2.411423932	0.445139795	5.417228385	6.05E-08	3.00E-06
DDX60L	ENSG00000181381	2.401531634	0.280731716	8.554543336	1.18E-17	4.08E-15
NA	ENSG00000211724	2.399635031	0.79137052	3.032252239	0.002427363	0.015687573
GALNTL6	ENSG00000174473	2.394105509	0.720576254	3.322487378	0.000892187	0.007349862
NA	ENSG00000273445	2.389283206	0.71562186	3.338751007	0.00084156	0.007008994
BOLL	ENSG00000152430	2.388879879	0.744935078	3.206829628	0.001342065	0.010045404
NA	ENSG00000225886	2.387397069	0.457751446	5.21548777	1.83E-07	7.77E-06
C3AR1	ENSG00000171860	2.385706952	0.31510181	7.571225789	3.70E-14	7.65E-12
PMAIP1	ENSG00000141682	2.385553566	0.3845874	6.202890598	5.54E-10	4.81E-08
ANKRD22	ENSG00000152766	2.384244457	0.433561649	5.499205159	3.82E-08	2.02E-06
BCL2L14	ENSG00000121380	2.38388014	0.48999116	4.865149286	1.14E-06	3.67E-05
NA	ENSG00000257607	2.382274136	0.503922307	4.727463153	2.27E-06	6.55E-05
MIR155HG	ENSG00000234883	2.38114277	0.494642122	4.813869792	1.48E-06	4.52E-05
CD70	ENSG00000125726	2.380812862	0.490603207	4.852827762	1.22E-06	3.86E-05
LTB	ENSG00000227507	2.378545321	0.838636373	2.836205773	0.004565302	0.024848256
NA	ENSG00000211801	2.371770967	0.64200582	3.69431381	0.000220481	0.00251181
HS6ST3	ENSG00000185352	2.36652147	0.908757792	2.604127844	0.009210839	0.042152372
TMEM150B	ENSG00000180061	2.349545157	0.349967138	6.713616507	1.90E-11	2.37E-09
KLHDC7B	ENSG00000130487	2.348660697	0.336061466	6.988783103	2.77E-12	3.94E-10
SIT1	ENSG00000137078	2.347674412	0.497277524	4.72105474	2.35E-06	6.73E-05
NA	ENSG00000229754	2.346909773	0.35343874	6.640216556	3.13E-11	3.69E-09
FFAR2	ENSG00000126262	2.346073046	0.387669612	6.051733165	1.43E-09	1.16E-07
NA	ENSG00000211752	2.345885444	0.924292947	2.538032396	0.011147766	0.048470957
GPR34	ENSG00000171659	2.344202597	0.493586683	4.749323024	2.04E-06	5.98E-05
NA	ENSG00000258377	2.341705728	0.54479789	4.298301757	1.72E-05	0.000332282
IFIT5	ENSG00000152778	2.336617951	0.271544726	8.604910072	7.64E-18	2.72E-15
MNDA	ENSG00000163563	2.335545027	0.371758235	6.282429833	3.33E-10	3.07E-08
XKR4	ENSG00000206579	2.334507393	0.716611675	3.257702147	0.001123182	0.008736673
SNX10	ENSG00000086300	2.332760201	0.371319564	6.28235198	3.33E-10	3.07E-08
TMIGD2	ENSG00000167664	2.332394736	0.593659416	3.928843161	8.54E-05	0.001191209
PIK3AP1	ENSG00000155629	2.327760756	0.329668078	7.060922509	1.65E-12	2.58E-10
SIGLEC14	ENSG00000254415	2.32748617	0.433810513	5.365213839	8.09E-08	3.87E-06
NA	ENSG00000224891	2.326948724	0.855936634	2.718599287	0.006555898	0.032492456
NA	ENSG00000232884	2.321842518	0.867993715	2.674953143	0.00747397	0.036096608
CASP5	ENSG00000137757	2.321723015	0.476739464	4.870003833	1.12E-06	3.60E-05
CD48	ENSG00000117091	2.317209998	0.502518723	4.611191371	4.00E-06	0.000105355
CRHBP	ENSG00000145708	2.314086667	0.499394894	4.633781195	3.59E-06	9.61E-05
CD86	ENSG00000114013	2.311979357	0.335307166	6.895108688	5.38E-12	7.47E-10
CCR7	ENSG00000126353	2.306715068	0.461834134	4.994682936	5.89E-07	2.08E-05
LOC105373098	ENSG00000272666	2.303786407	0.520651268	4.424816666	9.65E-06	0.000211055
NA	ENSG00000237254	2.303584136	0.906440557	2.541351575	0.011042482	0.048160371
CMA1	ENSG00000092009	2.299821934	0.476671492	4.824752419	1.40E-06	4.35E-05
NR4A3	ENSG00000119508	2.29920705	0.272031283	8.451995013	2.86E-17	9.18E-15
GMPR	ENSG00000137198	2.29757812	0.244082093	9.413136755	4.82E-21	2.55E-18
PTPRCAP	ENSG00000213402	2.293700409	0.479775833	4.780775215	1.75E-06	5.24E-05
NA	ENSG00000211809	2.291330176	0.884630117	2.590156193	0.009593239	0.04347229
CD28	ENSG00000178562	2.286966294	0.393847855	5.806725272	6.37E-09	4.32E-07
NA	ENSG00000187653	2.286913133	0.733790155	3.11657647	0.001829642	0.012739772
IL1R2	ENSG00000115590	2.285624426	0.421037949	5.428547312	5.68E-08	2.85E-06
NA	ENSG00000211815	2.274615371	0.861041598	2.641702071	0.008249058	0.038786421
LINC01914	ENSG00000234362	2.266347067	0.854812807	2.651278792	0.008018762	0.037938695
NA	ENSG00000222328	2.264542895	0.684277965	3.309390351	0.000934994	0.007617154
LY6E	ENSG00000160932	2.261069835	0.309162422	7.313533829	2.60E-13	4.56E-11
FCGR3B	ENSG00000162747	2.258577818	0.403619808	5.59580519	2.20E-08	1.26E-06
CCL13	ENSG00000181374	2.25167209	0.294748528	7.639298853	2.18E-14	4.78E-12
MARCHF1	ENSG00000145416	2.248723309	0.332001358	6.773235264	1.26E-11	1.64E-09
POTEF	ENSG00000196604	2.245191695	0.670604302	3.348012665	0.000813933	0.006838959
BATF	ENSG00000156127	2.242591029	0.400669381	5.597111076	2.18E-08	1.25E-06
KYNU	ENSG00000115919	2.242358476	0.381197883	5.882400136	4.04E-09	2.91E-07
SIGLEC7	ENSG00000168995	2.240531967	0.2997576	7.474479276	7.75E-14	1.46E-11
FCGR1B	ENSG00000198019	2.238914961	0.312045107	7.174972167	7.23E-13	1.21E-10
NA	ENSG00000273272	2.237496431	0.631203581	3.544809472	0.000392897	0.003935363
NA	ENSG00000229644	2.236902638	0.387174111	5.777510885	7.58E-09	5.02E-07
BIRC3	ENSG00000023445	2.224504441	0.449267068	4.951407743	7.37E-07	2.52E-05
